date,open,high,low,close,volume,stock_name,ticker
02/02/2026,5.72,5.72,4.7,5.09,939.04K,Abctrans,ABCTRANS
01/30/2026,5.22,5.22,5.22,5.22,418.05K,Abctrans,ABCTRANS
01/29/2026,5.5,5.22,5.22,5.22,789.51K,Abctrans,ABCTRANS
01/28/2026,5.15,5.5,5.5,5.5,487.58K,Abctrans,ABCTRANS
01/27/2026,5.15,5.15,5.15,5.15,724.41K,Abctrans,ABCTRANS
01/26/2026,5.68,5.67,5.15,5.15,912.25K,Abctrans,ABCTRANS
01/23/2026,5.68,5.68,5.68,5.68,700.10K,Abctrans,ABCTRANS
01/22/2026,5.68,5.68,5.68,5.68,928.94K,Abctrans,ABCTRANS
01/21/2026,5.68,5.68,5.68,5.68,643.91K,Abctrans,ABCTRANS
01/20/2026,5.71,5.68,5.68,5.68,1.67M,Abctrans,ABCTRANS
01/19/2026,5.24,5.71,5.2,5.71,2.49M,Abctrans,ABCTRANS
01/16/2026,5.2,5.24,5.24,5.24,1.16M,Abctrans,ABCTRANS
01/15/2026,4.9,5.2,5.2,5.2,1.31M,Abctrans,ABCTRANS
01/14/2026,4.51,4.9,4.9,4.9,893.75K,Abctrans,ABCTRANS
01/13/2026,4.51,4.51,4.51,4.51,591.16K,Abctrans,ABCTRANS
01/12/2026,4.47,4.51,4.51,4.51,1.43M,Abctrans,ABCTRANS
01/09/2026,4.47,4.47,4.47,4.47,834.85K,Abctrans,ABCTRANS
01/08/2026,4.96,4.51,4.47,4.47,963.31K,Abctrans,ABCTRANS
01/07/2026,4.96,4.96,4.96,4.96,1.55M,Abctrans,ABCTRANS
01/06/2026,4.51,4.96,4.8,4.96,1.35M,Abctrans,ABCTRANS
01/05/2026,4.51,4.51,4.51,4.51,1.58M,Abctrans,ABCTRANS
01/02/2026,4.1,4.51,4.51,4.51,2.00M,Abctrans,ABCTRANS
12/31/2025,3.9,4.1,4.1,4.1,662.39K,Abctrans,ABCTRANS
12/30/2025,3.59,3.9,3.82,3.9,1.33M,Abctrans,ABCTRANS
12/29/2025,3.27,3.59,3.59,3.59,1.33M,Abctrans,ABCTRANS
12/24/2025,3.15,3.46,3.27,3.27,743.80K,Abctrans,ABCTRANS
12/23/2025,3.15,3.15,3.15,3.15,383.63K,Abctrans,ABCTRANS
12/22/2025,3.5,3.51,3.15,3.15,1.35M,Abctrans,ABCTRANS
12/19/2025,3.2,3.5,2.88,3.5,1.13M,Abctrans,ABCTRANS
12/18/2025,3.2,3.2,3.2,3.2,177.74K,Abctrans,ABCTRANS
12/17/2025,3.2,3.2,3.2,3.2,492.34K,Abctrans,ABCTRANS
12/16/2025,3.2,3.2,3.2,3.2,148.81K,Abctrans,ABCTRANS
12/15/2025,3.2,3.2,3.2,3.2,390.77K,Abctrans,ABCTRANS
12/12/2025,3.2,3.2,3.2,3.2,397.25K,Abctrans,ABCTRANS
12/11/2025,3.2,3.2,3.2,3.2,210.66K,Abctrans,ABCTRANS
12/10/2025,3.1,3.2,3.2,3.2,505.99K,Abctrans,ABCTRANS
12/09/2025,3.1,3.1,3.1,3.1,233.20K,Abctrans,ABCTRANS
12/08/2025,3.1,3.1,3.1,3.1,380.27K,Abctrans,ABCTRANS
12/05/2025,3.44,3.1,3.1,3.1,1.14M,Abctrans,ABCTRANS
12/04/2025,3.44,3.44,3.44,3.44,620.44K,Abctrans,ABCTRANS
12/03/2025,3.44,3.44,3.44,3.44,294.13K,Abctrans,ABCTRANS
12/02/2025,3.44,3.44,3.44,3.44,126.31K,Abctrans,ABCTRANS
12/01/2025,3.44,3.44,3.44,3.44,225.41K,Abctrans,ABCTRANS
11/28/2025,3.44,3.44,3.44,3.44,175.40K,Abctrans,ABCTRANS
11/27/2025,3.44,3.44,3.44,3.44,237.55K,Abctrans,ABCTRANS
11/26/2025,3.44,3.44,3.44,3.44,92.01K,Abctrans,ABCTRANS
11/25/2025,3.44,3.44,3.44,3.44,238.09K,Abctrans,ABCTRANS
11/24/2025,3.44,3.44,3.44,3.44,157.96K,Abctrans,ABCTRANS
11/21/2025,3.44,3.44,3.44,3.44,178.66K,Abctrans,ABCTRANS
11/20/2025,3.44,3.44,3.44,3.44,849.21K,Abctrans,ABCTRANS
11/19/2025,3.82,3.44,3.44,3.44,560.90K,Abctrans,ABCTRANS
11/18/2025,3.82,3.82,3.82,3.82,254.29K,Abctrans,ABCTRANS
11/17/2025,3.82,3.82,3.82,3.82,438.15K,Abctrans,ABCTRANS
11/14/2025,4.24,3.82,3.82,3.82,405.95K,Abctrans,ABCTRANS
11/13/2025,4.24,4.24,4.24,4.24,477.45K,Abctrans,ABCTRANS
11/12/2025,4.24,4.24,4.24,4.24,770.31K,Abctrans,ABCTRANS
11/11/2025,4.24,4.24,4.24,4.24,201.80K,Abctrans,ABCTRANS
11/10/2025,4.24,4.24,4.24,4.24,253.26K,Abctrans,ABCTRANS
11/07/2025,4.24,4.24,4.24,4.24,361.63K,Abctrans,ABCTRANS
11/06/2025,4.24,4.24,4.24,4.24,152.21K,Abctrans,ABCTRANS
11/05/2025,4.24,4.24,4.24,4.24,243.42K,Abctrans,ABCTRANS
11/04/2025,4.24,4.24,4.24,4.24,181.05K,Abctrans,ABCTRANS
11/03/2025,4.24,4.24,4.24,4.24,220.89K,Abctrans,ABCTRANS
10/31/2025,4.24,4.24,4.24,4.24,331.87K,Abctrans,ABCTRANS
10/30/2025,4.24,4.24,4.24,4.24,169.63K,Abctrans,ABCTRANS
10/29/2025,4.24,4.24,4.24,4.24,202.63K,Abctrans,ABCTRANS
10/28/2025,4.24,4.24,4.24,4.24,154.68K,Abctrans,ABCTRANS
10/27/2025,4.25,4.24,4.24,4.24,531.16K,Abctrans,ABCTRANS
